11,0,1,1,1,0,0,0,0,0,0,1
11,1,1,1,2,0,0,0,0,0,0,1
11,1,2,2,3,0,0,0,0,0,0,1
11,2,2,2,4,0,0,0,0,0,0,1
11,3,3,3,6,0,0,0,0,0,0,1
11,3,3,3,6,0,0,0,0,0,0,1
11,3,3,3,6,0,0,0,0,0,0,1
347,0,1,1,1,0,0,0,0,0,0,1
347,1,1,1,2,0,0,0,0,0,0,1
347,1,2,2,3,0,0,0,0,0,0,1
347,2,2,2,4,0,0,0,0,0,0,1
347,4,4,4,8,0,0,0,0,0,0,1
347,3,8,8,11,0,0,0,0,0,0,1
347,8,8,8,16,0,0,0,0,0,0,1
347,11,16,16,27,0,0,0,0,0,0,1
347,16,16,16,32,0,0,0,0,0,0,1
347,27,27,27,54,0,0,0,0,0,0,1
347,27,27,27,54,0,0,0,0,0,0,1
347,27,27,27,54,0,0,0,0,0,0,1
347,27,27,27,54,0,0,0,0,0,0,1
347,27,27,27,54,0,0,0,0,0,0,1
347,27,27,27,54,0,0,0,0,0,0,1
9929,0,1,1,1,0,0,0,0,0,0,1
9929,1,1,1,2,0,0,0,0,0,0,1
9929,2,2,2,4,0,0,0,0,0,0,1
9929,4,4,4,8,0,0,0,0,0,0,1
9929,1,8,8,9,0,0,0,0,0,0,1
9929,8,8,8,16,0,0,0,0,0,0,1
9929,16,16,16,32,0,0,0,0,0,0,1
9929,32,32,32,64,0,0,0,0,0,0,1
9929,9,64,64,73,0,0,0,0,0,0,1
9929,64,64,64,128,0,0,0,0,0,0,1
9929,73,83,83,156,0,0,0,0,0,0,1
9929,83,83,83,166,0,0,0,0,0,0,1
9929,83,83,83,166,0,0,0,0,0,0,1
9929,83,83,83,166,0,0,0,0,0,0,1
9929,83,83,83,166,0,0,0,0,0,0,1
9929,83,83,83,166,0,0,0,0,0,0,1
9929,83,83,83,166,0,0,0,0,0,0,1
9929,83,83,83,166,0,0,0,0,0,0,1
9929,83,83,83,166,0,0,0,0,0,0,1
9929,83,83,83,166,0,0,0,0,0,0,1
9929,83,83,83,166,0,0,0,0,0,0,1
32353,0,1,1,1,0,0,0,0,0,0,1
32353,1,1,1,2,0,0,0,0,0,0,1
32353,2,2,2,4,0,0,0,0,0,0,1
32353,4,4,4,8,0,0,0,0,0,0,1
32353,8,8,8,16,0,0,0,0,0,0,1
32353,16,16,16,32,0,0,0,0,0,0,1
32353,1,32,32,33,0,0,0,0,0,0,1
32353,32,32,32,64,0,0,0,0,0,0,1
32353,33,64,64,97,0,0,0,0,0,0,1
32353,64,64,64,128,0,0,0,0,0,0,1
32353,111,111,111,222,0,0,0,0,0,0,1
32353,111,111,111,222,0,0,0,0,0,0,1
32353,97,111,111,208,0,0,0,0,0,0,1
32353,111,111,111,222,0,0,0,0,0,0,1
32353,111,111,111,222,0,0,0,0,0,1,1
32353,111,111,111,222,0,0,0,0,0,0,1
32353,111,111,111,222,0,0,0,0,0,1,1
32353,111,111,111,222,0,0,0,0,0,0,1
32353,111,111,111,222,0,0,0,0,0,0,1
32353,111,111,111,222,0,0,0,0,0,0,1
32353,111,111,111,222,0,0,0,0,0,0,1
32353,111,111,111,222,0,0,0,0,0,0,1
32353,111,111,111,222,0,0,0,0,0,0,1
32353,111,111,111,222,0,0,0,0,0,0,1
104527,0,1,1,1,0,0,0,0,0,0,1
104527,1,1,1,2,0,0,0,0,0,0,1
104527,1,2,2,3,0,0,0,0,0,0,1
104527,2,2,2,4,0,0,0,0,0,0,1
104527,3,4,4,7,0,0,0,0,0,0,1
104527,4,4,4,8,0,0,0,0,0,0,1
104527,7,8,8,15,0,0,0,0,0,0,1
104527,8,8,8,16,0,0,0,0,0,0,1
104527,16,16,16,32,0,0,0,0,0,0,1
104527,32,32,32,64,0,0,0,0,0,0,1
104527,15,64,64,79,0,0,0,0,0,0,1
104527,64,64,64,128,0,0,0,0,0,0,1
104527,127,127,127,254,0,0,0,1,0,1,1
104527,127,127,127,254,0,0,0,1,0,1,1
104527,127,127,127,254,0,0,0,1,0,1,1
104527,127,127,127,254,0,0,0,0,0,1,1
104527,79,127,127,206,0,0,0,0,0,0,1
104527,127,127,127,254,0,0,0,1,0,1,1
104527,127,127,127,254,0,0,0,1,0,1,1
104527,127,127,127,254,0,0,0,1,0,1,1
104527,127,127,127,254,0,0,0,1,0,1,1
104527,127,127,127,254,0,0,0,1,0,1,1
104527,127,127,127,254,0,0,0,0,0,1,1
104527,127,127,127,254,0,0,0,0,0,1,1
104527,127,127,127,254,0,0,0,1,0,1,1
104527,127,127,127,254,0,0,0,0,0,1,1
7741009,0,1,1,1,0,0,0,0,0,0,1
7741009,1,1,1,2,0,0,0,0,0,0,1
7741009,2,2,2,4,0,0,0,0,0,0,1
7741009,4,4,4,8,0,0,0,0,0,0,1
7741009,8,8,8,16,0,0,0,0,0,0,1
7741009,1,16,16,17,0,0,0,0,0,0,1
7741009,16,16,16,32,0,0,0,0,0,0,1
7741009,32,32,32,64,0,0,0,0,0,0,1
7741009,17,64,64,81,0,0,0,0,0,0,1
7741009,64,64,64,128,0,0,0,0,0,0,1
7741009,128,128,128,256,0,0,0,1,0,1,1
7741009,231,231,231,462,0,0,0,4,0,4,1
7741009,81,231,231,312,0,0,0,1,0,2,1
7741009,231,231,231,462,0,0,0,3,0,4,1
7741009,231,231,231,462,0,0,0,3,0,4,1
7741009,231,231,231,462,0,0,0,3,0,4,1
7741009,231,231,231,462,0,0,0,3,0,4,1
7741009,231,231,231,462,0,0,0,3,0,4,1
7741009,231,231,231,462,0,0,0,3,0,4,1
7741009,231,231,231,462,0,0,0,3,0,4,1
7741009,231,231,231,462,0,0,0,3,0,4,1
7741009,231,231,231,462,0,0,0,3,0,4,1
7741009,231,231,231,462,0,0,0,3,0,4,1
7741009,231,231,231,462,0,0,0,3,0,4,1
7741009,231,231,231,462,0,0,0,3,0,4,1
7741009,231,231,231,462,0,0,0,3,0,4,1
7741009,231,231,231,462,0,0,0,3,0,4,1
7741009,231,231,231,462,0,0,0,3,0,4,1
7741009,231,231,231,462,0,0,0,4,0,4,1
7741009,231,231,231,462,0,0,0,3,0,4,1
7741009,231,231,231,462,0,0,0,3,0,4,1
7741009,231,231,231,462,0,0,0,3,0,4,1
7741009,231,231,231,462,0,0,0,3,0,4,1
7741009,231,231,231,462,0,0,0,3,0,4,1
7741009,231,231,231,462,0,0,0,3,0,4,1
2968813,0,1,1,1,0,0,0,0,0,0,1
2968813,1,1,1,2,0,0,0,0,0,0,1
2968813,2,2,2,4,0,0,0,0,0,0,1
2968813,1,4,4,5,0,0,0,0,0,0,1
2968813,4,4,4,8,0,0,0,0,0,0,1
2968813,5,8,8,13,0,0,0,0,0,0,1
2968813,8,8,8,16,0,0,0,0,0,0,1
2968813,16,16,16,32,0,0,0,0,0,0,1
2968813,13,32,32,45,0,0,0,0,0,0,1
2968813,32,32,32,64,0,0,0,0,0,0,1
2968813,45,64,64,109,0,0,0,0,0,0,1
2968813,64,64,64,128,0,0,0,0,0,0,1
2968813,109,128,128,237,0,0,0,1,0,1,1
2968813,128,128,128,256,0,0,0,1,0,1,1
2968813,207,207,207,414,0,0,0,2,0,3,1
2968813,207,207,207,414,0,0,0,3,0,3,1
